#top,QSSEAB353-0-9,,mid,QSSEAB353-0-9,,bot,QSSEAB353-0-9,
WL [nm],SR [A/W],EQE [%],WL [nm],SR [A/W],EQE [%],WL [nm],SR [A/W],EQE [%]
280,0.005451,2.413697,500,0.002494,0.618428,802,0.000591,0.091339
290,0.008548,3.654427,510,0.003314,0.805511,804,0.001185,0.182678
300,0.011072,4.575834,520,0.004747,1.131862,806,0.001781,0.274018
310,0.014213,5.684673,530,0.007125,1.666671,808,0.002381,0.365357
320,0.020101,7.788397,540,0.010182,2.337625,810,0.002984,0.456696
330,0.032025,12.032036,550,0.013238,2.984113,812,0.003589,0.548035
340,0.050585,18.446306,560,0.015903,3.520889,814,0.004198,0.639375
350,0.07274,25.767805,570,0.018877,4.105805,816,0.004809,0.730714
360,0.093663,32.257967,580,0.022519,4.813733,818,0.005424,0.822053
370,0.112607,37.733951,590,0.026722,5.615302,820,0.006041,0.913392
380,0.12987,42.373573,600,0.03215,6.643332,822,0.006661,1.004731
390,0.148907,47.339198,610,0.0392,7.967206,824,0.007285,1.096071
400,0.167658,51.967685,620,0.048663,9.730944,826,0.007911,1.18741
410,0.187549,56.715505,630,0.06019,11.845034,828,0.00854,1.278749
420,0.206924,61.084611,640,0.076063,14.734874,830,0.009172,1.370088
430,0.227256,65.526431,650,0.1023,19.512501,832,0.009807,1.461428
440,0.246943,69.584625,660,0.140835,26.455557,834,0.010445,1.552767
450,0.268666,74.023545,670,0.178772,33.080828,836,0.011086,1.644106
460,0.28889,77.865386,680,0.219338,39.990463,838,0.01173,1.735445
470,0.307673,81.163581,690,0.327911,58.919517,840,0.012377,1.826785
480,0.324544,83.830569,700,0.478816,84.805162,842,0.013027,1.918124
490,0.338766,85.718347,710,0.519628,90.73737,844,0.01368,2.009463
500,0.349999,86.789344,720,0.534328,92.008383,846,0.014335,2.100802
510,0.360903,87.738383,730,0.532636,90.460636,848,0.014994,2.192141
520,0.369604,88.125738,740,0.523777,87.753928,850,0.015655,2.283481
530,0.377776,88.374842,750,0.522106,86.307539,852,0.016892,2.458042
540,0.387372,88.941528,760,0.535479,87.353599,854,0.019036,2.763616
550,0.392261,88.426549,770,0.55624,89.56183,856,0.019986,2.89471
560,0.399265,88.398058,780,0.575905,91.53935,858,0.021538,3.112168
570,0.404713,88.03237,790,0.584596,91.744531,860,0.023599,3.402075
580,0.410485,87.748361,800,0.57795,89.567727,862,0.024969,3.591204
590,0.415653,87.347198,810,0.563201,86.204567,864,0.027318,3.920001
600,0.417081,86.186395,820,0.549801,83.127286,866,0.028844,4.129353
610,0.419288,85.222171,830,0.548848,81.983365,868,0.031019,4.430554
620,0.418496,83.689275,840,0.556673,82.16235,870,0.033316,4.747692
630,0.414761,81.625664,850,0.572724,83.53682,872,0.03503,4.980535
640,0.407467,78.937261,852,0.576975,83.959318,874,0.037408,5.306459
650,0.388073,74.023482,854,0.57882,84.030533,876,0.040695,5.759608
660,0.356615,66.992327,856,0.580105,84.020295,878,0.045277,6.393431
670,0.329384,60.95338,858,0.582402,84.15641,880,0.053642,7.55743
680,0.289407,52.767908,860,0.584262,84.228804,882,0.065911,9.264941
690,0.173828,31.234845,862,0.587748,84.534751,884,0.089909,12.609706
700,0.021603,3.826366,864,0.590598,84.748104,886,0.112293,15.713441
710,0.001251,0.218514,866,0.592781,84.864938,888,0.150142,20.962426
,,,868,0.594814,84.959787,890,0.188768,26.296028
